Data File, Start Range, Gain 
data\HOD-2012.csv,4.0,0
data\HOD-2012.csv,4.05,0
data\HOD-2012.csv,4.1,0
data\HOD-2012.csv,4.15,0
data\HOD-2012.csv,4.2,0
data\HOD-2012.csv,4.25,0
data\HOD-2012.csv,4.3,0
data\HOD-2012.csv,4.35,1
data\HOD-2012.csv,4.4,2
data\HOD-2012.csv,4.45,2
data\HOD-2012.csv,4.5,5
data\HOD-2012.csv,4.55,4
data\HOD-2012.csv,4.6,2
data\HOD-2012.csv,4.65,2
data\HOD-2012.csv,4.7,2
data\HOD-2012.csv,4.75,4
data\HOD-2012.csv,4.8,3
data\HOD-2012.csv,4.85,2
data\HOD-2012.csv,4.9,2
data\HOD-2012.csv,4.95,3
data\HOD-2012.csv,5.0,4
data\HOD-2012.csv,5.05,3
data\HOD-2012.csv,5.1,3
data\HOD-2012.csv,5.15,7
data\HOD-2012.csv,5.2,6
data\HOD-2012.csv,5.25,8
data\HOD-2012.csv,5.3,3
data\HOD-2012.csv,5.35,3
data\HOD-2012.csv,5.4,3
data\HOD-2012.csv,5.45,3
data\HOD-2012.csv,5.5,5
data\HOD-2012.csv,5.55,3
data\HOD-2012.csv,5.6,4
data\HOD-2012.csv,5.65,4
data\HOD-2012.csv,5.7,4
data\HOD-2012.csv,5.75,6
data\HOD-2012.csv,5.8,5
data\HOD-2012.csv,5.85,6
data\HOD-2012.csv,5.9,5
data\HOD-2012.csv,5.95,6
data\HOD-2012.csv,6.0,5
data\HOD-2012.csv,6.05,6
data\HOD-2012.csv,6.1,7
data\HOD-2012.csv,6.15,8
data\HOD-2012.csv,6.2,8
data\HOD-2012.csv,6.25,3
data\HOD-2012.csv,6.3,3
data\HOD-2012.csv,6.35,4
data\HOD-2012.csv,6.4,1
data\HOD-2012.csv,6.45,2
data\HOD-2012.csv,6.5,2
data\HOD-2012.csv,6.55,1
data\HOD-2012.csv,6.6,2
data\HOD-2012.csv,6.65,2
data\HOD-2012.csv,6.7,2
data\HOD-2012.csv,6.75,2
data\HOD-2012.csv,6.8,1
data\HOD-2012.csv,6.85,2
data\HOD-2012.csv,6.9,1
data\HOD-2012.csv,6.95,2
data\HOD-2012.csv,7.0,2
data\HOD-2013.csv,4.0,4
data\HOD-2013.csv,4.05,4
data\HOD-2013.csv,4.1,3
data\HOD-2013.csv,4.15,3
data\HOD-2013.csv,4.2,1
data\HOD-2013.csv,4.25,1
data\HOD-2013.csv,4.3,1
data\HOD-2013.csv,4.35,1
data\HOD-2013.csv,4.4,1
data\HOD-2013.csv,4.45,2
data\HOD-2013.csv,4.5,1
data\HOD-2013.csv,4.55,1
data\HOD-2013.csv,4.6,1
data\HOD-2013.csv,4.65,1
data\HOD-2013.csv,4.7,1
data\HOD-2013.csv,4.75,2
data\HOD-2013.csv,4.8,1
data\HOD-2013.csv,4.85,1
data\HOD-2013.csv,4.9,1
data\HOD-2013.csv,4.95,1
data\HOD-2013.csv,5.0,2
data\HOD-2013.csv,5.05,2
data\HOD-2013.csv,5.1,5
data\HOD-2013.csv,5.15,5
data\HOD-2013.csv,5.2,5
data\HOD-2013.csv,5.25,5
data\HOD-2013.csv,5.3,5
data\HOD-2013.csv,5.35,4
data\HOD-2013.csv,5.4,4
data\HOD-2013.csv,5.45,2
data\HOD-2013.csv,5.5,3
data\HOD-2013.csv,5.55,3
data\HOD-2013.csv,5.6,2
data\HOD-2013.csv,5.65,2
data\HOD-2013.csv,5.7,1
data\HOD-2013.csv,5.75,1
data\HOD-2013.csv,5.8,1
data\HOD-2013.csv,5.85,1
data\HOD-2013.csv,5.9,1
data\HOD-2013.csv,5.95,1
data\HOD-2013.csv,6.0,1
data\HOD-2013.csv,6.05,1
data\HOD-2013.csv,6.1,1
data\HOD-2013.csv,6.15,0
data\HOD-2013.csv,6.2,0
data\HOD-2013.csv,6.25,0
data\HOD-2013.csv,6.3,0
data\HOD-2013.csv,6.35,0
data\HOD-2013.csv,6.4,0
data\HOD-2013.csv,6.45,0
data\HOD-2013.csv,6.5,0
data\HOD-2013.csv,6.55,0
data\HOD-2013.csv,6.6,0
data\HOD-2013.csv,6.65,0
data\HOD-2013.csv,6.7,0
data\HOD-2013.csv,6.75,0
data\HOD-2013.csv,6.8,0
data\HOD-2013.csv,6.85,0
data\HOD-2013.csv,6.9,0
data\HOD-2013.csv,6.95,0
data\HOD-2013.csv,7.0,0
data\HOU-2012.csv,4.0,6
data\HOU-2012.csv,4.05,8
data\HOU-2012.csv,4.1,6
data\HOU-2012.csv,4.15,4
data\HOU-2012.csv,4.2,4
data\HOU-2012.csv,4.25,4
data\HOU-2012.csv,4.3,4
data\HOU-2012.csv,4.35,4
data\HOU-2012.csv,4.4,6
data\HOU-2012.csv,4.45,4
data\HOU-2012.csv,4.5,4
data\HOU-2012.csv,4.55,3
data\HOU-2012.csv,4.6,2
data\HOU-2012.csv,4.65,2
data\HOU-2012.csv,4.7,2
data\HOU-2012.csv,4.75,1
data\HOU-2012.csv,4.8,3
data\HOU-2012.csv,4.85,1
data\HOU-2012.csv,4.9,1
data\HOU-2012.csv,4.95,1
data\HOU-2012.csv,5.0,4
data\HOU-2012.csv,5.05,3
data\HOU-2012.csv,5.1,2
data\HOU-2012.csv,5.15,1
data\HOU-2012.csv,5.2,1
data\HOU-2012.csv,5.25,1
data\HOU-2012.csv,5.3,1
data\HOU-2012.csv,5.35,0
data\HOU-2012.csv,5.4,0
data\HOU-2012.csv,5.45,0
data\HOU-2012.csv,5.5,0
data\HOU-2012.csv,5.55,0
data\HOU-2012.csv,5.6,0
data\HOU-2012.csv,5.65,0
data\HOU-2012.csv,5.7,0
data\HOU-2012.csv,5.75,0
data\HOU-2012.csv,5.8,0
data\HOU-2012.csv,5.85,1
data\HOU-2012.csv,5.9,1
data\HOU-2012.csv,5.95,1
data\HOU-2012.csv,6.0,1
data\HOU-2012.csv,6.05,1
data\HOU-2012.csv,6.1,2
data\HOU-2012.csv,6.15,2
data\HOU-2012.csv,6.2,3
data\HOU-2012.csv,6.25,3
data\HOU-2012.csv,6.3,3
data\HOU-2012.csv,6.35,3
data\HOU-2012.csv,6.4,3
data\HOU-2012.csv,6.45,2
data\HOU-2012.csv,6.5,4
data\HOU-2012.csv,6.55,3
data\HOU-2012.csv,6.6,1
data\HOU-2012.csv,6.65,1
data\HOU-2012.csv,6.7,1
data\HOU-2012.csv,6.75,1
data\HOU-2012.csv,6.8,3
data\HOU-2012.csv,6.85,3
data\HOU-2012.csv,6.9,3
data\HOU-2012.csv,6.95,4
data\HOU-2012.csv,7.0,2
data\HOU-2013.csv,4.0,2
data\HOU-2013.csv,4.05,3
data\HOU-2013.csv,4.1,5
data\HOU-2013.csv,4.15,6
data\HOU-2013.csv,4.2,8
data\HOU-2013.csv,4.25,6
data\HOU-2013.csv,4.3,6
data\HOU-2013.csv,4.35,5
data\HOU-2013.csv,4.4,4
data\HOU-2013.csv,4.45,5
data\HOU-2013.csv,4.5,4
data\HOU-2013.csv,4.55,3
data\HOU-2013.csv,4.6,3
data\HOU-2013.csv,4.65,2
data\HOU-2013.csv,4.7,2
data\HOU-2013.csv,4.75,1
data\HOU-2013.csv,4.8,1
data\HOU-2013.csv,4.85,1
data\HOU-2013.csv,4.9,1
data\HOU-2013.csv,4.95,1
data\HOU-2013.csv,5.0,1
data\HOU-2013.csv,5.05,3
data\HOU-2013.csv,5.1,3
data\HOU-2013.csv,5.15,3
data\HOU-2013.csv,5.2,3
data\HOU-2013.csv,5.25,4
data\HOU-2013.csv,5.3,4
data\HOU-2013.csv,5.35,4
data\HOU-2013.csv,5.4,3
data\HOU-2013.csv,5.45,1
data\HOU-2013.csv,5.5,1
data\HOU-2013.csv,5.55,2
data\HOU-2013.csv,5.6,2
data\HOU-2013.csv,5.65,0
data\HOU-2013.csv,5.7,0
data\HOU-2013.csv,5.75,0
data\HOU-2013.csv,5.8,0
data\HOU-2013.csv,5.85,0
data\HOU-2013.csv,5.9,0
data\HOU-2013.csv,5.95,0
data\HOU-2013.csv,6.0,0
data\HOU-2013.csv,6.05,0
data\HOU-2013.csv,6.1,0
data\HOU-2013.csv,6.15,0
data\HOU-2013.csv,6.2,0
data\HOU-2013.csv,6.25,0
data\HOU-2013.csv,6.3,0
data\HOU-2013.csv,6.35,0
data\HOU-2013.csv,6.4,0
data\HOU-2013.csv,6.45,0
data\HOU-2013.csv,6.5,0
data\HOU-2013.csv,6.55,0
data\HOU-2013.csv,6.6,0
data\HOU-2013.csv,6.65,0
data\HOU-2013.csv,6.7,0
data\HOU-2013.csv,6.75,0
data\HOU-2013.csv,6.8,0
data\HOU-2013.csv,6.85,0
data\HOU-2013.csv,6.9,0
data\HOU-2013.csv,6.95,0
data\HOU-2013.csv,7.0,0
